,user_id,keywords_by_frequency,keywords_by_similarity
438,25몬스터,좋다 입다 신고,생각 사다 코디
439,25일째 밤,마음 색깔 아들,마음 코디 사다
440,273784,좋다 사다 가격,사다 쓰다 코디
441,27625,사다 입다 자다,사다 쓰다 코디
442,2847162,좋다 입다 배송,좋다 귀엽다 생각
443,28828222,예쁘다 좋다 자다,생각 코디 예쁘다
444,28요정,좋다 가격 자다,느낌 쓰다 생각
445,2929_,좋다 입다 느낌,생각 쓰다 귀엽다
446,29451,좋다 추천 입다,생각 쓰다 코디
447,294728,좋다 편하다 구매,사다 쓰다 코디
448,2947333,좋다 입다 재질,쓰다 생각 코디
449,2Grace,좋다 색상 예쁘다,사다 코디 생각
450,2H4444,좋다 재질 자다,좋다 생각 쓰다
451,2JayKay,좋다 입다 사이즈,생각 쓰다 코디
452,2S24a,입다 색감 기장,생각 코디 쓰다
453,2UEU,예쁘다 입다 좋다,예쁘다 생각 코디
